regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,71.328,88.578,72.063,0.0426
pure,2,1,0.5,4.0,0,0,256,1024,640,93.122,113.058,86.048,-0.3548
pure,2,1,0.5,4.0,0,0,512,2048,1280,124.033,152.963,110.271,-0.4757
pure,2,1,0.5,4.0,0,0,1024,4096,2560,181.089,239.779,159.521,-0.3675
pure,2,1,0.5,4.0,0,0,2048,8192,5120,269.762,367.236,271.171,0.0145
pure,2,1,0.5,4.0,0,0,4096,16384,10240,433.283,644.008,454.308,0.0998
mixed,2,1,0.5,4.0,16,0,128,512,320,98.402,139.042,106.337,0.1953
mixed,2,1,0.5,4.0,16,0,256,1024,640,160.545,194.497,161.443,0.0264
mixed,2,1,0.5,4.0,16,0,512,2048,1280,214.85,282.499,263.873,0.7247
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,327.363,459.813,438.755,0.841
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,545.891,809.193,788.168,0.9201
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,980.202,1511.534,1490.64,0.9607
mixed,2,1,0.5,4.0,16,512,128,512,320,127.747,147.425,141.156,0.6814
mixed,2,1,0.5,4.0,16,512,256,1024,640,162.53,230.082,184.418,0.324
mixed,2,1,0.5,4.0,16,512,512,2048,1280,272.931,402.627,277.186,0.0328
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,492.133,640.326,488.131,-0.027
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,728.904,998.186,911.816,0.6793
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,1185.966,1733.106,1599.603,0.756
mixed,2,1,0.5,4.0,16,1024,128,512,320,172.001,192.929,184.387,0.5918
mixed,2,1,0.5,4.0,16,1024,256,1024,640,204.001,237.313,228.418,0.733
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,274.499,407.492,319.075,0.3352
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,492.068,748.807,498.245,0.0241
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,894.472,1166.923,921.769,0.1002
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,1348.494,1895.604,1751.22,0.7361
mixed,2,1,0.5,4.0,16,2048,128,512,320,260.835,277.795,270.372,0.5623
mixed,2,1,0.5,4.0,16,2048,256,1024,640,291.075,330.116,314.019,0.5877
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,351.171,418.759,398.307,0.6974
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,496.132,763.11,582.341,0.3229
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,931.53,1443.213,947.051,0.0303
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,1678.61,2232.246,1824.627,0.2637
mixed,2,1,0.5,4.0,16,4096,128,512,320,437.222,452.998,446.277,0.574
mixed,2,1,0.5,4.0,16,4096,256,1024,640,464.294,502.949,484.612,0.5256
