regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,66.847,71.169,68.544,0.3926
pure,2,1,0.5,4.0,0,0,256,1024,640,73.6,82.977,75.488,0.2013
pure,2,1,0.5,4.0,0,0,512,2048,1280,94.591,113.762,97.568,0.1553
pure,2,1,0.5,4.0,0,0,1024,4096,2560,125.154,158.241,129.953,0.145
pure,2,1,0.5,4.0,0,0,2048,8192,5120,193.944,250.303,188.511,-0.0964
pure,2,1,0.5,4.0,0,0,4096,16384,10240,298.081,419.744,292.413,-0.0466
mixed,2,1,0.5,4.0,16,0,128,512,320,58.303,77.728,77.6,0.9934
mixed,2,1,0.5,4.0,16,0,256,1024,640,88.353,120.288,120.224,0.998
mixed,2,1,0.5,4.0,16,0,512,2048,1280,142.24,207.2,207.104,0.9985
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,251.104,380.491,379.68,0.9937
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,465.825,724.995,723.139,0.9928
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,898.306,1422.243,1413.633,0.9836
mixed,2,1,0.5,4.0,16,512,128,512,320,78.176,81.184,78.241,0.0216
mixed,2,1,0.5,4.0,16,512,256,1024,640,88.736,120.768,120.384,0.988
mixed,2,1,0.5,4.0,16,512,512,2048,1280,142.401,207.073,207.264,1.003
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,250.783,380.929,379.648,0.9902
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,465.728,725.379,723.458,0.9926
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,898.242,1422.146,1414.721,0.9858
mixed,2,1,0.5,4.0,16,1024,128,512,320,120.639,121.599,120.897,0.2687
mixed,2,1,0.5,4.0,16,1024,256,1024,640,121.313,124.001,121.088,-0.0837
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,142.368,207.521,207.296,0.9965
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,250.912,380.641,379.776,0.9933
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,467.105,725.603,722.688,0.9887
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,898.21,1422.563,1415.3,0.9861
mixed,2,1,0.5,4.0,16,2048,128,512,320,206.817,207.232,206.625,-0.4627
mixed,2,1,0.5,4.0,16,2048,256,1024,640,207.009,206.847,206.72,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,207.073,209.984,207.329,0.0879
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,251.424,381.537,379.777,0.9865
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,466.848,725.825,723.425,0.9907
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,899.009,1423.46,1414.884,0.9836
mixed,2,1,0.5,4.0,16,4096,128,512,320,378.305,378.944,378.656,0.5493
mixed,2,1,0.5,4.0,16,4096,256,1024,640,378.818,378.944,378.85,0.254
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,378.943,380.991,379.008,0.0317
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,380.223,383.17,381.184,0.3261
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,466.593,725.954,723.265,0.9896
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,898.913,1423.65,1415.232,0.984
mixed,2,1,0.5,4.0,16,8192,128,512,320,725.921,726.561,725.759,-0.2531
mixed,2,1,0.5,4.0,16,8192,256,1024,640,727.552,727.331,726.528,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,727.362,727.233,727.296,
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,727.812,727.554,727.137,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,727.779,728.994,727.874,0.0782
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,904.771,1425.159,1417.316,0.9849
mixed,2,1,0.5,4.0,32,0,128,512,320,58.081,77.632,77.409,0.9886
mixed,2,1,0.5,4.0,32,0,256,1024,640,88.735,120.608,120.16,0.9859
