regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,66.209,69.857,67.65,0.395
pure,2,1,0.5,4.0,0,0,256,1024,640,72.799,81.888,74.431,0.1796
pure,2,1,0.5,4.0,0,0,512,2048,1280,93.217,112.544,96.578,0.1739
pure,2,1,0.5,4.0,0,0,1024,4096,2560,126.305,160.13,130.305,0.1183
pure,2,1,0.5,4.0,0,0,2048,8192,5120,193.475,251.905,188.48,-0.0855
pure,2,1,0.5,4.0,0,0,4096,16384,10240,298.562,418.148,291.842,-0.0562
mixed,2,1,0.5,4.0,16,0,128,512,320,78.016,97.409,97.471,1.0032
mixed,2,1,0.5,4.0,16,0,256,1024,640,107.712,139.33,138.082,0.9605
mixed,2,1,0.5,4.0,16,0,512,2048,1280,160.546,223.2,222.753,0.9929
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,266.274,395.972,393.731,0.9827
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,482.948,746.247,742.725,0.9866
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,921.446,1444.78,1443.822,0.9982
mixed,2,1,0.5,4.0,16,512,128,512,320,122.944,141.28,109.568,-0.7295
mixed,2,1,0.5,4.0,16,512,256,1024,640,153.891,185.826,162.305,0.2635
mixed,2,1,0.5,4.0,16,512,512,2048,1280,206.081,270.148,268.131,0.9685
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,311.266,438.115,435.491,0.9793
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,520.933,772.101,766.567,0.978
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,939.621,1464.777,1462.599,0.9959
mixed,2,1,0.5,4.0,16,1024,128,512,320,163.331,183.935,151.041,-0.5965
mixed,2,1,0.5,4.0,16,1024,256,1024,640,195.584,228.482,162.88,-0.9941
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,253.985,316.61,267.971,0.2233
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,356.898,483.746,479.332,0.9652
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,565.122,817.958,812.868,0.9799
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,986.502,1485.739,1480.006,0.9885
mixed,2,1,0.5,4.0,16,2048,128,512,320,247.49,267.426,234.595,-0.6468
mixed,2,1,0.5,4.0,16,2048,256,1024,640,278.979,314.242,246.241,-0.9284
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,336.256,406.083,270.112,-0.9473
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,452.196,591.203,482.274,0.2164
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,678.628,949.67,913.702,0.8673
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,1123.113,1659.885,1589.038,0.868
mixed,2,1,0.5,4.0,16,4096,128,512,320,413.924,434.435,400.548,-0.6521
mixed,2,1,0.5,4.0,16,4096,256,1024,640,445.795,481.443,413.187,-0.9147
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,506.371,581.797,436.388,-0.9278
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,623.206,764.453,484.163,-0.9844
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,861.382,1122.371,926.82,0.2507
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,1298.956,1838.956,1819.02,0.9631
mixed,2,1,0.5,4.0,16,8192,128,512,320,748.199,769.159,742.567,-0.2687
mixed,2,1,0.5,4.0,16,8192,256,1024,640,781.0,815.046,749.06,-0.9381
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,837.927,917.735,769.733,-0.8545
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,973.509,1110.823,818.983,-1.1253
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1203.883,1477.931,949.992,-0.9264
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,1656.557,2195.694,1833.678,0.3285
mixed,2,1,0.5,4.0,32,0,128,512,320,78.657,98.179,97.345,0.9573
mixed,2,1,0.5,4.0,32,0,256,1024,640,109.088,140.256,138.849,0.9549
mixed,2,1,0.5,4.0,32,0,512,2048,1280,161.952,224.384,222.85,0.9754
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,265.858,395.779,394.721,0.9919
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,482.948,745.926,743.62,0.9912
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,922.087,1448.394,1443.852,0.9914
mixed,2,1,0.5,4.0,32,512,128,512,320,122.978,143.17,110.112,-0.6372
mixed,2,1,0.5,4.0,32,512,256,1024,640,154.978,186.498,163.041,0.2558
mixed,2,1,0.5,4.0,32,512,512,2048,1280,205.698,270.946,267.522,0.9475
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,310.819,437.86,436.035,0.9856
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,520.804,772.357,767.302,0.9799
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,941.0,1468.685,1464.522,0.9921
mixed,2,1,0.5,4.0,32,1024,128,512,320,164.609,185.089,151.553,-0.6375
mixed,2,1,0.5,4.0,32,1024,256,1024,640,196.353,229.825,164.545,-0.9503
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,253.441,315.363,268.387,0.2414
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,357.412,482.406,479.557,0.9772
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,566.277,818.597,813.062,0.9781
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,981.033,1486.508,1482.537,0.9921
mixed,2,1,0.5,4.0,32,2048,128,512,320,247.201,268.867,234.05,-0.607
mixed,2,1,0.5,4.0,32,2048,256,1024,640,279.425,315.043,246.978,-0.911
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,336.707,407.779,270.821,-0.927
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,456.261,588.645,484.45,0.2129
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,673.83,942.538,916.102,0.9016
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,1125.289,1661.068,1592.847,0.8727
mixed,2,1,0.5,4.0,32,4096,128,512,320,414.083,435.522,401.314,-0.5956
mixed,2,1,0.5,4.0,32,4096,256,1024,640,447.235,481.957,414.212,-0.9511
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,510.179,580.93,436.194,-1.0457
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,632.325,767.458,485.508,-1.0865
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,861.542,1123.144,927.302,0.2514
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,1309.101,1837.644,1826.477,0.9789
mixed,2,1,0.5,4.0,32,8192,128,512,320,749.703,769.445,743.398,-0.3194
mixed,2,1,0.5,4.0,32,8192,256,1024,640,779.493,816.804,750.437,-0.7788
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,841.798,921.358,770.566,-0.8953
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,978.696,1116.936,817.702,-1.1646
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,1209.992,1477.61,947.592,-0.9805
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,1662.981,2200.466,1831.406,0.3134
mixed,2,1,0.5,4.0,64,0,128,512,320,80.385,100.224,99.425,0.9597
mixed,2,1,0.5,4.0,64,0,256,1024,640,110.336,142.53,141.122,0.9563
mixed,2,1,0.5,4.0,64,0,512,2048,1280,163.04,227.169,223.937,0.9496
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,268.226,397.572,396.131,0.9889
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,486.308,748.517,745.0,0.9866
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,924.552,1450.375,1445.1,0.99
mixed,2,1,0.5,4.0,64,512,128,512,320,124.642,144.352,111.84,-0.6495
mixed,2,1,0.5,4.0,64,512,256,1024,640,156.513,190.463,163.202,0.197
mixed,2,1,0.5,4.0,64,512,512,2048,1280,214.273,272.355,267.49,0.9162
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,315.875,442.467,438.851,0.9714
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,528.003,778.118,772.774,0.9786
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,942.536,1469.741,1466.539,0.9939
mixed,2,1,0.5,4.0,64,1024,128,512,320,166.178,187.905,154.722,-0.5273
mixed,2,1,0.5,4.0,64,1024,256,1024,640,199.552,231.329,166.435,-1.0422
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,256.291,322.115,269.987,0.2081
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,362.21,495.621,480.547,0.887
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,573.539,823.652,821.48,0.9913
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,988.683,1491.852,1487.722,0.9918
mixed,2,1,0.5,4.0,64,2048,128,512,320,249.282,270.722,235.842,-0.6269
mixed,2,1,0.5,4.0,64,2048,256,1024,640,283.362,317.474,248.194,-1.031
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,340.547,409.955,272.61,-0.9788
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,456.835,600.229,482.532,0.1792
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,685.862,954.921,918.342,0.864
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,1131.241,1665.102,1601.679,0.8812
mixed,2,1,0.5,4.0,64,4096,128,512,320,415.074,435.779,402.692,-0.598
mixed,2,1,0.5,4.0,64,4096,256,1024,640,449.314,484.39,416.771,-0.9278
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,508.515,583.264,439.075,-0.929
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,631.43,775.686,487.684,-0.9965
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,868.774,1134.378,926.086,0.2158
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,1306.121,1837.132,1828.043,0.9829
mixed,2,1,0.5,4.0,64,8192,128,512,320,751.526,770.631,746.052,-0.2865
mixed,2,1,0.5,4.0,64,8192,256,1024,640,781.67,817.545,752.678,-0.8081
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,841.478,926.761,772.934,-0.8037
mixed,2,1,0.5,4.0,64,8192,1024,4096,2560,978.633,1116.809,818.822,-1.1566
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1210.795,1485.036,949.735,-0.9519
mixed,2,1,0.5,4.0,64,8192,4096,16384,10240,1667.757,2199.792,1833.84,0.3122
mixed,2,1,0.5,4.0,128,0,128,512,320,98.145,119.008,104.77,0.3175
mixed,2,1,0.5,4.0,128,0,256,1024,640,129.377,161.635,158.434,0.9008
mixed,2,1,0.5,4.0,128,0,512,2048,1280,182.37,245.987,243.106,0.9547
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,288.032,413.987,410.403,0.9715
mixed,2,1,0.5,4.0,128,0,2048,8192,5120,496.323,749.926,743.206,0.9735
mixed,2,1,0.5,4.0,128,0,4096,16384,10240,924.902,1441.322,1440.268,0.998
mixed,2,1,0.5,4.0,128,512,128,512,320,131.68,148.224,145.09,0.8106
mixed,2,1,0.5,4.0,128,512,256,1024,640,161.346,224.801,185.281,0.3772
mixed,2,1,0.5,4.0,128,512,512,2048,1280,266.947,334.499,272.227,0.0782
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,375.169,502.82,474.02,0.7744
mixed,2,1,0.5,4.0,128,512,2048,8192,5120,584.677,842.92,830.182,0.9507
mixed,2,1,0.5,4.0,128,512,4096,16384,10240,1008.36,1519.372,1501.639,0.9653
mixed,2,1,0.5,4.0,128,1024,128,512,320,175.745,194.883,188.994,0.6923
mixed,2,1,0.5,4.0,128,1024,256,1024,640,205.985,235.713,230.051,0.8095
mixed,2,1,0.5,4.0,128,1024,512,2048,1280,267.17,396.482,314.435,0.3655
mixed,2,1,0.5,4.0,128,1024,1024,4096,2560,461.092,589.573,485.058,0.1865
mixed,2,1,0.5,4.0,128,1024,2048,8192,5120,672.425,930.278,897.958,0.8747
mixed,2,1,0.5,4.0,128,1024,4096,16384,10240,1098.857,1632.076,1583.404,0.9087
mixed,2,1,0.5,4.0,128,2048,128,512,320,259.65,280.033,272.481,0.6295
mixed,2,1,0.5,4.0,128,2048,256,1024,640,291.776,324.835,316.291,0.7416
mixed,2,1,0.5,4.0,128,2048,512,2048,1280,346.306,414.182,401.987,0.8203
mixed,2,1,0.5,4.0,128,2048,1024,4096,2560,483.556,745.958,569.542,0.3277
mixed,2,1,0.5,4.0,128,2048,2048,8192,5120,848.903,1110.953,922.281,0.28
mixed,2,1,0.5,4.0,128,2048,4096,16384,10240,1288.938,1816.268,1767.438,0.9074
mixed,2,1,0.5,4.0,128,4096,128,512,320,432.228,450.307,445.091,0.7115
mixed,2,1,0.5,4.0,128,4096,256,1024,640,461.893,497.859,487.076,0.7002
mixed,2,1,0.5,4.0,128,4096,512,2048,1280,517.284,587.749,575.876,0.8315
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,632.805,765.542,746.022,0.8529
mixed,2,1,0.5,4.0,128,4096,2048,8192,5120,912.199,1448.876,1094.471,0.3396
mixed,2,1,0.5,4.0,128,4096,4096,16384,10240,1627.786,2156.237,1813.165,0.3508
mixed,2,1,0.5,4.0,128,8192,128,512,320,772.454,794.472,785.382,0.5872
mixed,2,1,0.5,4.0,128,8192,256,1024,640,805.509,839.624,827.333,0.6397
mixed,2,1,0.5,4.0,128,8192,512,2048,1280,859.654,931.942,912.681,0.7336
mixed,2,1,0.5,4.0,128,8192,1024,4096,2560,978.919,1115.688,1095.146,0.8498
