regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,71.841,80.769,73.727,0.2112
pure,2,1,0.5,4.0,0,0,256,1024,640,89.86,110.016,93.089,0.1602
pure,2,1,0.5,4.0,0,0,512,2048,1280,121.248,156.45,125.153,0.1109
pure,2,1,0.5,4.0,0,0,1024,4096,2560,195.104,243.395,179.777,-0.3174
pure,2,1,0.5,4.0,0,0,2048,8192,5120,284.61,411.012,283.011,-0.0127
pure,2,1,0.5,4.0,0,0,4096,16384,10240,488.874,741.737,498.984,0.04
mixed,2,1,0.5,4.0,16,0,128,512,320,80.608,98.881,97.76,0.9387
mixed,2,1,0.5,4.0,16,0,256,1024,640,108.355,140.994,139.105,0.9421
mixed,2,1,0.5,4.0,16,0,512,2048,1280,162.817,224.13,223.33,0.987
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,268.675,393.988,391.395,0.9793
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,481.062,740.679,736.966,0.9857
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,913.453,1437.81,1428.847,0.9829
mixed,2,1,0.5,4.0,16,512,128,512,320,122.081,142.305,110.401,-0.5775
mixed,2,1,0.5,4.0,16,512,256,1024,640,156.225,189.697,161.504,0.1577
mixed,2,1,0.5,4.0,16,512,512,2048,1280,209.124,272.77,269.028,0.9412
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,315.363,443.141,437.894,0.9589
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,523.59,773.16,772.745,0.9983
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,944.62,1459.794,1450.356,0.9817
mixed,2,1,0.5,4.0,16,1024,128,512,320,163.715,186.532,151.202,-0.5484
mixed,2,1,0.5,4.0,16,1024,256,1024,640,197.185,232.418,163.297,-0.9618
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,256.355,322.563,269.507,0.1986
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,367.972,501.348,480.262,0.8419
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,594.28,858.922,826.312,0.8768
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,1037.003,1524.916,1498.994,0.9469
mixed,2,1,0.5,4.0,16,2048,128,512,320,247.074,268.194,234.244,-0.6075
mixed,2,1,0.5,4.0,16,2048,256,1024,640,279.49,315.717,246.788,-0.9027
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,340.579,408.516,270.05,-1.0382
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,458.725,593.542,488.806,0.2231
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,678.629,948.777,934.38,0.9467
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,1126.987,1669.748,1655.444,0.9736
mixed,2,1,0.5,4.0,16,4096,128,512,320,412.837,435.397,400.517,-0.5461
mixed,2,1,0.5,4.0,16,4096,256,1024,640,446.246,484.743,413.444,-0.8521
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,507.749,583.175,437.926,-0.9257
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,628.742,763.881,501.926,-0.9384
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,858.155,1131.951,940.649,0.3013
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,1299.79,1841.139,1827.57,0.9749
mixed,2,1,0.5,4.0,16,8192,128,512,320,749.449,766.635,743.528,-0.3445
mixed,2,1,0.5,4.0,16,8192,256,1024,640,779.593,817.93,749.576,-0.783
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,842.635,943.208,769.799,-0.7242
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,985.739,1121.037,837.131,-1.0984
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1209.806,1474.321,949.577,-0.9838
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,1656.433,2196.281,1831.157,0.3237
mixed,2,1,0.5,4.0,32,0,128,512,320,80.962,99.585,98.752,0.9553
mixed,2,1,0.5,4.0,32,0,256,1024,640,110.08,142.146,140.323,0.9431
mixed,2,1,0.5,4.0,32,0,512,2048,1280,163.62,225.347,222.915,0.9606
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,268.163,396.165,392.293,0.9698
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,481.35,741.32,738.313,0.9884
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,914.348,1438.545,1431.663,0.9869
mixed,2,1,0.5,4.0,32,512,128,512,320,123.328,144.131,111.073,-0.5891
mixed,2,1,0.5,4.0,32,512,256,1024,640,158.978,191.104,161.763,0.0867
mixed,2,1,0.5,4.0,32,512,512,2048,1280,213.409,277.987,269.507,0.8687
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,317.475,444.389,440.196,0.967
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,529.384,785.001,778.697,0.9753
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,945.707,1460.498,1454.737,0.9888
mixed,2,1,0.5,4.0,32,1024,128,512,320,164.322,187.2,153.506,-0.4728
mixed,2,1,0.5,4.0,32,1024,256,1024,640,198.594,233.985,164.995,-0.9494
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,260.547,329.251,268.963,0.1225
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,370.663,505.991,482.02,0.8229
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,595.878,862.76,828.009,0.8698
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,1040.204,1569.202,1506.162,0.8808
mixed,2,1,0.5,4.0,32,2048,128,512,320,248.067,269.987,235.49,-0.5738
mixed,2,1,0.5,4.0,32,2048,256,1024,640,280.899,318.5,246.595,-0.9123
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,342.727,410.213,272.228,-1.0446
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,459.492,595.782,490.949,0.2308
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,681.768,951.307,936.393,0.9447
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,1131.566,1668.019,1658.803,0.9828
mixed,2,1,0.5,4.0,32,4096,128,512,320,413.7,437.06,402.66,-0.4726
mixed,2,1,0.5,4.0,32,4096,256,1024,640,447.814,483.75,413.38,-0.9582
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,511.11,586.537,439.621,-0.9478
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,630.118,762.953,503.015,-0.9568
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,859.817,1127.436,946.859,0.3252
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,1305.485,1844.307,1833.718,0.9803
mixed,2,1,0.5,4.0,32,8192,128,512,320,751.016,767.851,745.257,-0.3421
mixed,2,1,0.5,4.0,32,8192,256,1024,640,782.089,819.884,749.961,-0.8501
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,844.362,946.57,770.761,-0.7201
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,988.043,1119.855,838.281,-1.1362
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,1212.111,1483.055,953.578,-0.9542
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,1660.626,2201.33,1833.108,0.319
mixed,2,1,0.5,4.0,64,0,128,512,320,81.44,100.29,98.818,0.9219
mixed,2,1,0.5,4.0,64,0,256,1024,640,110.978,142.114,140.93,0.962
mixed,2,1,0.5,4.0,64,0,512,2048,1280,163.043,227.299,223.746,0.9447
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,269.795,394.628,392.708,0.9846
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,481.446,741.64,738.729,0.9888
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,914.665,1438.064,1430.388,0.9853
mixed,2,1,0.5,4.0,64,512,128,512,320,123.425,145.185,111.617,-0.5426
mixed,2,1,0.5,4.0,64,512,256,1024,640,161.185,196.193,161.922,0.0211
mixed,2,1,0.5,4.0,64,512,512,2048,1280,217.57,279.747,271.778,0.8718
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,322.435,445.22,444.293,0.9925
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,529.353,780.872,778.569,0.9908
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,946.604,1463.955,1457.202,0.9869
mixed,2,1,0.5,4.0,64,1024,128,512,320,167.394,191.651,152.962,-0.595
mixed,2,1,0.5,4.0,64,1024,256,1024,640,199.521,235.523,165.474,-0.9457
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,263.042,332.067,271.746,0.1261
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,373.573,508.677,484.036,0.8176
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,595.591,868.201,832.491,0.869
